,date,CAC40GROSSTR,DAX,IndustrialAverageIndexTotalReturn
65,2012-08-31,7292.39,6970.79,24749.6895
66,2012-09-28,7204.33,7216.15,25430.0605
67,2012-10-31,7364.2,7260.63,24823.4297
68,2012-11-30,7649.44,7405.5,24792.4902
69,2012-12-31,7846.44,7612.39,24987.4004
70,2013-01-31,8045.75,7776.05,26464.1191
71,2013-02-28,8025.59,7741.7,26929.9805
72,2013-03-28,8057.54,7795.31,27969.5605
73,2013-04-30,8353.64,7913.71,28512.0391
74,2013-05-31,8714.04,8348.84,29149.6094
75,2013-06-28,8286.19,7959.22,28785.0293
76,2013-07-31,8855.03,8275.97,29972.0801
77,2013-08-30,8724.39,8103.15,28741.0898
78,2013-09-30,9204.08,8594.4,29394.0391
79,2013-10-31,9551.62,9033.92,30240.2793
80,2013-11-29,9562.51,9405.3,31395.7598
81,2013-12-31,9589.71,9552.16,32397.1406
82,2014-01-31,9301.11,9306.48,30717.1992
83,2014-02-28,9842.25,9692.08,32049.9297
84,2014-03-31,9819.86,9555.91,32348.3398
85,2014-04-30,10071.4,9603.23,32629.1191
86,2014-05-30,10304.1,9943.27,33017.8398
87,2014-06-30,10133.9,9833.07,33263.9688
88,2014-07-31,9732.89,9407.48,32786.1406
89,2014-08-29,10042.1,9470.17,33965.0117
90,2014-09-30,10137.8,9474.3,33887.1289
91,2014-10-31,9725.87,9326.87,34618.5781
92,2014-11-28,10091.9,9980.85,35609.3398
93,2014-12-31,9849.44,9805.55,35650.3906
94,2015-01-30,10615.8,10694.32,34374.3516
95,2015-02-27,11416.5,11401.66,36440.8594
96,2015-03-31,11626.11,11966.17,35766.5586
97,2015-04-30,11712.07,11454.38,35926.9609
98,2015-05-29,11770.28,11413.82,36412.5898
99,2015-06-30,11322.71,10944.97,35661.5117
100,2015-07-31,12021.75,11308.99,35848.1289
101,2015-08-31,11005.48,10259.46,33627.0391
102,2015-09-30,10553.49,9660.44,33172.4805
103,2015-10-30,11610.92,10850.14,36022.7695
104,2015-11-30,11760.34,11382.23,36276.8594
105,2015-12-31,11025.92,10743.01,35726.0313
106,2016-01-29,10505.26,9798.11,33801.6992
107,2016-02-29,10366.75,9495.4,34054.2891
108,2016-03-31,10461.67,9965.51,36511.6992
109,2016-04-29,10610.35,10038.97,36736.7188
110,2016-05-31,10984.21,10262.74,36918.0391
111,2016-06-30,10400.4,9680.09,37267.0703
112,2016-07-29,10904.93,10337.5,38360.8906
113,2016-08-31,10901.03,10592.69,38460.5703
114,2016-09-30,10942.12,10511.02,38302.4219
115,2016-10-31,11101.18,10665.01,37999.6289
116,2016-11-30,11281.9,10640.3,40234.0195
117,2016-12-30,12005.34,11481.06,41619.6484
118,2017-01-31,11727.63,11535.31,41877.7383
119,2017-02-28,12001.04,11834.41,44041.8516
120,2017-03-31,12675.36,12312.87,43779.7891
121,2017-04-28,13074.04,12438.01,44413.75
122,2017-05-31,13336.88,12615.06,44730.2617
123,2017-06-30,12978.71,12325.12,45510.0391
124,2017-07-31,12918.48,12118.25,46728.5313
125,2017-08-31,12897.74,12110.12,47033.6797
126,2017-09-29,13534.83,12828.86,48051.3594
127,2017-10-31,13982.49,13229.57,50185.3008
128,2017-11-30,13658.19,13023.98,52311.6289
129,2017-12-29,13533.27,12917.64,53317.9609
130,2018-01-31,13967.67,13189.48,56452.3086
131,2018-02-28,13559.19,12435.85,54217.1094
132,2018-03-29,13193.11,12096.73,52270.3008
133,2018-04-30,14147.17,12612.11,52449.7109
134,2018-05-31,14069.56,12604.89,53189.25
135,2018-06-29,13935.39,12306.0,52930.9883
136,2018-07-31,14429.61,12805.5,55490.0
137,2018-08-31,14156.8,12364.06,56908.5313
138,2018-09-28,14403.33,12246.73,58028.5195
139,2018-10-31,13362.28,11447.51,55137.0703
140,2018-11-30,13135.45,11257.24,56297.9609
141,2018-12-31,12450.81,10555.84,51462.7695
142,2019-01-31,13146.7,11173.1,55215.7813
143,2019-02-28,13799.69,11515.64,57441.7109
144,2019-03-29,14118.08,11526.04,57541.7617
145,2019-04-30,14813.93,12344.08,59072.6992
146,2019-05-31,14033.94,11726.84,55341.2813
147,2019-06-28,14992.26,12398.8,59387.3789
148,2019-07-31,14949.61,12189.51,60049.75
149,2019-08-30,14846.19,11914.08,59254.75
150,2019-09-30,15401.49,12428.15,60471.4883
151,2019-10-31,15542.73,12899.5,60825.5117
152,2019-11-29,16028.49,13244.36,63323.3516
153,2019-12-31,16242.1,13249.01,64505.4805
154,2020-01-31,15801.32,12996.28,63933.6797
155,2020-02-28,14450.31,11890.35,57697.3086
156,2020-03-31,11994.8,9928.19,49840.3086
157,2020-04-30,12482.89,10840.91,55431.8086
